Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Porto de Vigo";"";""
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"17.98";"1";"ºC"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"17.24";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"16.18";"1";"ºC"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"14.78";"1";"ºC"
"10/04/2023";"Lluvia";"0.5";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"15.03";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"15.07";"1";"ºC"
"12/04/2023";"Lluvia";"6.3";"1";"L/m2"
"12/04/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"13.21";"1";"ºC"
"13/04/2023";"Lluvia";"2.9";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"12.64";"1";"ºC"
"14/04/2023";"Lluvia";"11.8";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"14.49";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"15.45";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"17.67";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"20.06";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"52";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"19.04";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"15.75";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"15.49";"1";"ºC"
"21/04/2023";"Lluvia";"29.7";"1";"L/m2"
"21/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"13.63";"1";"ºC"
"22/04/2023";"Lluvia";"6.5";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"22/04/2023";"Temperatura media  atura a 1.5m";"15.72";"1";"ºC"
"23/04/2023";"Lluvia";"6.8";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"16.33";"1";"ºC"
"24/04/2023";"Lluvia";"0.8";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"16.62";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"16.80";"1";"ºC"
"26/04/2023";"Lluvia";"0.3";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"17.18";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"17.59";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"17.46";"1";"ºC"
"29/04/2023";"Lluvia";"0.0";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"17.29";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"18.23";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
"01/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"18.01";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"20.23";"1";"ºC"
"03/05/2023";"Lluvia";"3.1";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"19.66";"1";"ºC"
"04/05/2023";"Lluvia";"1.6";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"18.10";"1";"ºC"
"05/05/2023";"Lluvia";"0.0";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"18.56";"1";"ºC"
"06/05/2023";"Lluvia";"31.2";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"17.51";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"17.15";"1";"ºC"
"08/05/2023";"Lluvia";"0.0";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"17.71";"1";"ºC"
"09/05/2023";"Lluvia";"2.4";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"17.88";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"15.83";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"15.92";"1";"ºC"
"12/05/2023";"Lluvia";"0.0";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"12/05/2023";"Temperatura media  atura a 1.5m";"15.40";"1";"ºC"
"13/05/2023";"Lluvia";"0.0";"1";"L/m2"
"13/05/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"13/05/2023";"Temperatura media  atura a 1.5m";"16.20";"1";"ºC"
"14/05/2023";"Lluvia";"0.0";"1";"L/m2"
"14/05/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"14/05/2023";"Temperatura media  atura a 1.5m";"17.62";"1";"ºC"
"15/05/2023";"Lluvia";"0.0";"1";"L/m2"
"15/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
