Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Pontevedra-Campolongo";"";""
"14/01/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"14/01/2023";"Temperatura media  atura a 1.5m";"14.21";"1";"ºC"
"15/01/2023";"Lluvia";"16.7";"1";"L/m2"
"15/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"15/01/2023";"Temperatura media  atura a 1.5m";"9.80";"1";"ºC"
"16/01/2023";"Lluvia";"60.2";"1";"L/m2"
"16/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"16/01/2023";"Temperatura media  atura a 1.5m";"13.04";"1";"ºC"
"17/01/2023";"Lluvia";"9.8";"1";"L/m2"
"17/01/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"17/01/2023";"Temperatura media  atura a 1.5m";"9.32";"1";"ºC"
"18/01/2023";"Lluvia";"4.5";"1";"L/m2"
"18/01/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"18/01/2023";"Temperatura media  atura a 1.5m";"6.72";"1";"ºC"
"19/01/2023";"Lluvia";"32.8";"1";"L/m2"
"19/01/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"19/01/2023";"Temperatura media  atura a 1.5m";"9.29";"1";"ºC"
"20/01/2023";"Lluvia";"0.7";"1";"L/m2"
"20/01/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"20/01/2023";"Temperatura media  atura a 1.5m";"13.64";"1";"ºC"
"21/01/2023";"Lluvia";"0.0";"1";"L/m2"
"21/01/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"21/01/2023";"Temperatura media  atura a 1.5m";"12.66";"1";"ºC"
"22/01/2023";"Lluvia";"0.0";"1";"L/m2"
"22/01/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"22/01/2023";"Temperatura media  atura a 1.5m";"8.04";"1";"ºC"
"23/01/2023";"Lluvia";"0.0";"1";"L/m2"
"23/01/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"23/01/2023";"Temperatura media  atura a 1.5m";"7.10";"1";"ºC"
"24/01/2023";"Lluvia";"0.0";"1";"L/m2"
"24/01/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"24/01/2023";"Temperatura media  atura a 1.5m";"8.95";"1";"ºC"
"25/01/2023";"Lluvia";"0.0";"1";"L/m2"
"25/01/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"25/01/2023";"Temperatura media  atura a 1.5m";"7.86";"1";"ºC"
"26/01/2023";"Lluvia";"1.9";"1";"L/m2"
"26/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"26/01/2023";"Temperatura media  atura a 1.5m";"8.06";"1";"ºC"
"27/01/2023";"Lluvia";"0.0";"1";"L/m2"
"27/01/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"27/01/2023";"Temperatura media  atura a 1.5m";"9.17";"1";"ºC"
"28/01/2023";"Lluvia";"0.0";"1";"L/m2"
"28/01/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"28/01/2023";"Temperatura media  atura a 1.5m";"7.37";"1";"ºC"
"29/01/2023";"Lluvia";"0.0";"1";"L/m2"
"29/01/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"29/01/2023";"Temperatura media  atura a 1.5m";"7.69";"1";"ºC"
"30/01/2023";"Lluvia";"0.0";"1";"L/m2"
"30/01/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"30/01/2023";"Temperatura media  atura a 1.5m";"5.66";"1";"ºC"
"31/01/2023";"Lluvia";"0.0";"1";"L/m2"
"31/01/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"6.25";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"6.85";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"7.35";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"7.84";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"8.04";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"9.32";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"9.60";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"8.52";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"11.16";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"9.65";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"9.18";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"8.23";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"10.20";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"13.06";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"11.91";"1";"ºC"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"12.37";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"13.16";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"12.44";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"13.80";"1";"ºC"
"20/02/2023";"Lluvia";"0.3";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"12.89";"1";"ºC"
"21/02/2023";"Lluvia";"0.6";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"13.32";"1";"ºC"
"22/02/2023";"Lluvia";"2.1";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"11.55";"1";"ºC"
"23/02/2023";"Lluvia";"0.6";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"6.95";"1";"ºC"
"24/02/2023";"Lluvia";"1.7";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"5.91";"1";"ºC"
"25/02/2023";"Lluvia";"4.3";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"6.97";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"8.59";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"45";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"8.48";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"8.22";"1";"ºC"
"01/03/2023";"Lluvia";"0.0";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"7.06";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
"02/03/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"6.75";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"7.85";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"9.09";"1";"ºC"
"05/03/2023";"Lluvia";"1.6";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"8.49";"1";"ºC"
"06/03/2023";"Lluvia";"2.8";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"13.19";"1";"ºC"
"07/03/2023";"Lluvia";"2.4";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"14.26";"1";"ºC"
"08/03/2023";"Lluvia";"14.2";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"16.06";"1";"ºC"
"09/03/2023";"Lluvia";"9.2";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"15.36";"1";"ºC"
"10/03/2023";"Lluvia";"1.4";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"15.42";"1";"ºC"
"11/03/2023";"Lluvia";"9.4";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"15.98";"1";"ºC"
"12/03/2023";"Lluvia";"1.5";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"16.55";"1";"ºC"
"13/03/2023";"Lluvia";"10.8";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"14.65";"1";"ºC"
"14/03/2023";"Lluvia";"0.3";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"12.63";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"13.85";"1";"ºC"
"16/03/2023";"Lluvia";"17.7";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"11.47";"1";"ºC"
"17/03/2023";"Lluvia";"13.5";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"13.36";"1";"ºC"
"18/03/2023";"Lluvia";"6.4";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"13.88";"1";"ºC"
"19/03/2023";"Lluvia";"0.0";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"12.99";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"20/03/2023";"Temperatura media  atura a 1.5m";"12.05";"1";"ºC"
"21/03/2023";"Lluvia";"0.7";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"13.87";"1";"ºC"
"22/03/2023";"Lluvia";"0.7";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"13.80";"1";"ºC"
"23/03/2023";"Lluvia";"15.1";"1";"L/m2"
"23/03/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"14.16";"1";"ºC"
"24/03/2023";"Lluvia";"7.7";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"14.24";"1";"ºC"
"25/03/2023";"Lluvia";"3.4";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"12.73";"1";"ºC"
"26/03/2023";"Lluvia";"0.0";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"13.21";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"12.92";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"15.37";"1";"ºC"
"29/03/2023";"Lluvia";"0.5";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"17.49";"1";"ºC"
"30/03/2023";"Lluvia";"3.8";"1";"L/m2"
"30/03/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"16.43";"1";"ºC"
"31/03/2023";"Lluvia";"0.3";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"15.55";"1";"ºC"
"01/04/2023";"Lluvia";"4.3";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"13.68";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"12.78";"1";"ºC"
"03/04/2023";"Lluvia";"0.3";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"16.48";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"15.22";"1";"ºC"
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"17.19";"1";"ºC"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"16.14";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"15.38";"1";"ºC"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"13.92";"1";"ºC"
"10/04/2023";"Lluvia";"2.4";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"15.04";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"15.04";"1";"ºC"
"12/04/2023";"Lluvia";"6.4";"1";"L/m2"
"12/04/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"13.63";"1";"ºC"
"13/04/2023";"Lluvia";"5.9";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"11.38";"1";"ºC"
"14/04/2023";"Lluvia";"30.7";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"14.51";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"16.28";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"17.36";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"18.89";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"17.79";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"15.44";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"16.00";"1";"ºC"
"21/04/2023";"Lluvia";"14.5";"1";"L/m2"
"21/04/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"12.33";"1";"ºC"
"22/04/2023";"Lluvia";"11.0";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"22/04/2023";"Temperatura media  atura a 1.5m";"14.89";"1";"ºC"
"23/04/2023";"Lluvia";"12.2";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"16.28";"1";"ºC"
"24/04/2023";"Lluvia";"1.4";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"17.00";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"16.85";"1";"ºC"
"26/04/2023";"Lluvia";"0.0";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"17.85";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"17.93";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"18.29";"1";"ºC"
"29/04/2023";"Lluvia";"0.0";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"18.21";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"19.01";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
"01/05/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"17.93";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"20.14";"1";"ºC"
"03/05/2023";"Lluvia";"4.2";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"19.10";"1";"ºC"
"04/05/2023";"Lluvia";"5.1";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"17.87";"1";"ºC"
"05/05/2023";"Lluvia";"0.0";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"18.52";"1";"ºC"
"06/05/2023";"Lluvia";"29.2";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"17.75";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"17.29";"1";"ºC"
"08/05/2023";"Lluvia";"0.5";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"17.79";"1";"ºC"
"09/05/2023";"Lluvia";"3.4";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"18.93";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"15.22";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"15.66";"1";"ºC"
"12/05/2023";"Lluvia";"0.0";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"12/05/2023";"Temperatura media  atura a 1.5m";"15.09";"1";"ºC"
"13/05/2023";"Lluvia";"0.0";"1";"L/m2"
"13/05/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"13/05/2023";"Temperatura media  atura a 1.5m";"15.53";"1";"ºC"
"14/05/2023";"Lluvia";"0.0";"1";"L/m2"
"14/05/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"14/05/2023";"Temperatura media  atura a 1.5m";"17.99";"1";"ºC"
"15/05/2023";"Lluvia";"0.0";"1";"L/m2"
"15/05/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
